D21A,Bakker Geke,17N8400,,157.04
D21A,Horáčková Kateřina,VLI8150,C,157.18
D21A,Smolková Kateřina,PGP8852,C,158.00
D21A,Vildmonová Pavla,LBE7451,C,160.18
D21A,Partanen Ritva,26F8550,,160.30
D21A,Peterová Věra,DOB8751,C,160.35
D21A,Westin Kjersti,PGP9255,C,160.44
D21A,Graumann Friederike,23D9100,,161.31
D21A,Stachoňová Barbara,ZBM8451,C,169.35
D21A,Henychová Zuzana,VLI6151,C,169.36
D21A,Křivancová Zdenka,LBE9450,B,171.51
D21A,Peterová Alena,DOB8953,C,174.40
D21A,Wysocka Malwina,24P8500,,179.57
D21A,Choutková Magdalena,SOB8851,C,187.56
D21A,Kašparová Šárka,AOP7251,C,188.58
D21A,Engelhardt Katja,19D8450,,192.32
D21A,Kosch Sabeth,44D9150,,195.03
D21A,Roßberg Sylva,29D9100,,206.30
D21A,Hrzinová  Hana,ONO8350,C,217.54
D21A,Rickmeyer Tina,33D1038,,230.43
D21A,Csakvaryová Lenka,SBK8383,C,244.02
D21A,Richter Silke,33D1028,,282.39
D21A,Hrobařová Lenka,TJN7754,C,285.04
D21B,Tihonová Martina,PHK8651,C,130.12
D21B,Bohunská Jana,KRN8651,C,156.22
D21B,Žitná Jana,SMB9251,C,156.36
D21B,Posseltová Tereza,TJN9252,C,157.14
D21B,Kvapilová Lenka,TUV8151,C,159.04
D21B,Englmaier Gudrun,14A0009,,165.11
D21B,Hlavačiková Erika,17S8752,,167.05
D21B,Pavlíková Klára,LIT7451,C,173.42
D21B,Kršáková Marie,VIC9191,C,182.26
D21B,Volná Jitka,ABM9256,,184.44
D21B,Schmidt Beate,18D0050,,189.45
D21B,Rychlá Veronika,NNN0003,,202.27
D21B,Synková Petra,DOK7950,C,202.38
D21B,Charushnikova Svetlana,26D7900,,207.04
D21B,Skoblová Markéta,PUL9152,C,234.24
D21B,Pěluchová Daniela,CHC8851,C,234.48
D21B,Bohunská Monika,KRN9151,C,235.44
D21B,Műllerová Petra,VAM9098,C,243.35
D21B,Huonder Nicole,35C7950,,261.03
